source,target,value,count
15DajYeqgb4ADkb8scVCcNaXjfM1SV9PLvqjNDkpH6kBDRLZ,141B8uMKztkYk1Fua84yEyJAheg7Cifi7eWZSNnBb2KR2PWu,5780023.923444976,1
16T3x9YggqH4NYjFYzkGugcVChu1PHKhuwkggBZZPsnvfEJh,13SMSvFXzP6QUBk95bapYszYXQiTSRYKEd1rTz2pRbwhUnV3,5661636.355605674,1
16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd,AGG_Reaped_Accounts,5555695.021967891,567
1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,AGG_Reaped_Accounts,5552915.278109029,604
AGG_Small_Holders_<100,13fy3Cniu6kCa37g9LjRqjZ99U6eEoqjH5NAZ9WXoiEhZEP,5542516.121671924,4
15KVfAvMFs8kad3gSM2ZyPv9fcJzarZWX4XFRKTLGaEzUKgr,133SDz9BYXmVzbo7DXtXzhbUDsHLf2pY76U29m93Htm2mE8x,5463012.0,1
13Z7KjGnzdAdMre9cqRwTZHR6F2p36gqBsaNmQwwosiPz8JT,121CqVk5YnFXAq8GPVxFsETvn5jBXfkSLxzCPuRnkqB7xVmN,5410000.0,1
AGG_Small_Holders_<100,12WW2nRdq2Xbe6Rjz5A8d9Wcp7fwRg7GFNEU392L9Zy6YtLM,5399564.4508,3
12BFQrjL4DRsgMBNajEiwtAeKnnneXr8wUKi31DVjSXnQm56,148fP7zCq1JErXCy92PkNam4KZNcroG9zbbiPwMB1qehgeT4,5391503.68381531,1
14wBHDFr367gMKbLL6dM32JgvwVZYN7d5jVAS9F3gxyKLMdo,12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,5373276.465599984,1
15DajYeqgb4ADkb8scVCcNaXjfM1SV9PLvqjNDkpH6kBDRLZ,12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,5357013.6657766495,1
13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,13Th6PcjJ468fy2cQeVDDdHE6ycJ3sFQ5S9wHiQRDkCKR6Tz,5352515.0,1
16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd,133ypDi88FgxtfMZQpnJCd2TUSfjJpg1ruVWPkVLmMZu6VTY,5323774.758999994,1
